chr16	55079237	55080429	0.227773139631
chr16	54650598	54651882	0.499617299479
chr8	36957851	36958723	0.406841375125
chr20	2719208	2719789	0.220106445764
chr5	2112055	2113430	0.859481014407
chr18	76006820	76008476	0.515959142768
chr3	157882303	157883963	0.542699144887
chr12	24934985	24936472	0.0733186802195
chr1	62397108	62397747	0.0544323840787
chr13	102081556	102082718	0.0638483549679
chr13	46605462	46606798	0.155867168052
chr10	67881150	67882795	0.035131531598
chr14	33297806	33299065	0.274474061727
chr3	24912964	24914286	0.0439858050217
chr17	76131509	76132607	0.0446929582562
chr14	56057325	56058517	0.0314216326478
chr5	65048840	65050124	0.0627443751877
chr2	22836644	22838691	0.101307131214
chr8	37683090	37685347	0.270654020439
chr18	20049644	20052904	0.898430594517
chr4	53942283	53944297	0.138709782675
chr14	23906587	23908214	0.290868417535
chr1	113540056	113542020	0.175549706392
chr8	27752440	27753351	0.225290304931
chr9	2240936	2242833	0.811425935823
chrX	123350827	123352587	0.74656381898
chrX	150407692	150409052	0.425839867697
chr3	50636478	50640158	0.610153577255
chr11	75264066	75266752	0.528328800106
chr5	84638948	84639587	0.0951861555725
